Timestamp,Drill,Attempts,Best (s),Avg (s)
2026-02-07 12:29:49,Reaction Drill,2,0.764,1.511
2026-02-07 12:42:14,Reaction Drill,2,0.573,0.593
2026-02-07 12:47:22,Reaction Drill,3,0.743,0.865
2026-02-07 12:53:25,Reaction Drill,3,0.662,0.888
2026-02-07 12:57:44,Reaction Drill,3,0.688,0.800
2026-02-07 13:29:00,Reaction Drill,3,2.335,2.335
2026-02-07 13:29:02,Reaction Drill,3,0.687,0.687
2026-02-07 13:30:29,Reaction Drill,3,0.594,0.652
2026-02-07 15:49:20,Reaction Drill,3,0.202,0.664
2026-02-07 17:34:08,Reaction Drill,3,0.418,0.763
2026-02-07 17:34:31,Reaction Drill,3,0.940,1.047
2026-02-08 11:35:16,Reaction Drill,3,0.582,0.789
2026-02-08 11:35:45,Reaction Drill,3,0.524,0.676
2026-02-08 14:51:07,Reaction Drill,3,0.610,0.755
2026-02-08 15:23:42,Reaction Drill,3,0.637,0.951
